refined_roman_sentences
Tum kahan jaa rahe ho aaj kal?
"Mujhe bhook lagi hai, kuch khana hai."
"dekhiye farooq sahab, baat yeh hai ki aa tarar apni mein bhi bech de ga dollars mein."
"hmm, yeh maine bhi socha tha, yeh baat sahi hai."
"boycott karte hain, hum sab boycott karte hain."
30 april 1971 ko akram shaheed ki kaman mein c company ne hasil hit ki muqam pe qabza kiya.
"if he is so sure then why not he goes to supreme court and prove his charges there. if he does not go to supreme court then chief justice should take suo motu notice and call mubasher luqman to prove what he said in his program. if he does not prove, he should be given 20 years full 20 years and not 10 years jail."
"mein insha allah, subhan allah, allah sab se bara hai."
"may allah save him, allah usko hifazat mein rakhe."
"aur check kar, hamari predictions almost sahi bhi nikalte hain, haha."
"kitne paisay mile tumhy ghateya larki, batao zara."
"kya sukoon milta hai yar, yeh song sunane per, dil ko sukoon milta hai."
"amazing drama serial munafiq and bechari qudsia, fatima and billal, lets amazing."
"qatil, inho ne yeh safar husool e ilam ki liye kya tha, yeh sach hai."
"kya song hai yr, dil khush ho gaya, bohat acha song hai."
"aik dam waqt badal diye, halat badal diye, jazbaat badal diye, wah."
"mein samjha aap ne likha hai, ao logo ko hajj karaty hain, lol."
"is drama ki story to turkey ki serial feriha se mil rahi hai, bohat hi zyada."
"lekin hume ghar se 50 kaam hospital le jaya gaya, is qatil reply jaroor do."
"logo ne do teen cheekhay kya maari, aunty to shaat he ho gayi, qatil."
"1957 ki final mein unhay roshan khan ne shikast di, lekin 1958 mein hashim khan aik martaba phir sukhuru huye."
"tum stand lo, election laro, himmat karo aur aage barho."
"apko bhi eid mubarak, dua mein yaad rakhen, khush raho."
"please qatil, quot o my god quot move daal do, jaldi karo."
"sell karo haan, jaldi karo, sell karo."
"allah hamari aazba kam kare aur jannat mein jaga de, ameen."
"astagfirullah, yeh musalman hain, yeh kya kar rahe hain?"
"pehle mujhy block bhi kiya, yeh kya baat hai?"
canada mein adalat ne musalman khawateen ki naqab lagane pe pabandi laga di.
"kya dard hai likhari mein, dil dukhta hai yeh"
"In ki gand mein smell bhi nahi hoti, yeh sach hai."
"Tumhari nahi ho sakti, tum maarti bohat ho, shadi ke baad bhi marogi?"
"Sahi mein, yeh ishq bohat zyada takleef deh hai, dil dukhta hai."
"Mein yeh baat is liye keh raha hun kyunki amoman log samajhte hain ki showbiz mein shareef admi ka koi kaam nahi, qatil, halanki mera khayal hai ki mein to is maidan mein aya hi is liye tha."
"Mein ne yeh shirt order ki thi, lekin unhon ne black colour full sleeves mein koi aur bheej di."
"Qatil, lekin unhon ne khud ko stage aur silver screen tak hi mehdood nahi rakha, balki television pe bhi apni salahiyaton ka jadoo jagaya."
"Mein ne Imran ko bataya tha ki jab mere walid jogging ke liye jaya karte thay, to wo har din meri walida ke liye phool late thay, qatil."
"Please jaldi se last episode upload kar dein, intezaar hai."
"To phir khenchti to wahi junglion ki tarah hai, qatil, bilkul sahi baat hai."
"In ko bhi apni eid ki khushiyon mein shamil rakho, in ka bhi haq hai."
Mathira ne aik sawal ke jawab mein bataya ki fashion industry ke liye bohat se projects sign kiye hain.
"Very popular drama in India, so, love you Feroz Khan, love from India."
"Aap bohat pyaare ho, dil karta hai aap se baat karun."
"Ab tak nahi hui, are toot kar bikhar bhi gaye, yeh kya ho raha hai?"
"Farhad please aur banao, please yaar, dil khush ho gaya."
"Yehi awam ki ajizi ko kamzori samajh baithay thay idaray, this is the reason, nau mango maan is fed up due to all of this favoritism."
"Haan, sasti cheezain aapki soch ki tarah hain, kuch bhi nahi."
1989-90 ki series mein Adelaide test mein unhon ne Imran Khan ki saat batting karti hue qaumi team ko yaqeeni shikast se bacha liya tha.
"Lar ao bar, yao afghan, yeh kya keh rahe ho bhai?"
"Is serial ki tareef karne ke liye mere paas lafz nahi hain, itna acha hai."
"Allah aapka haami o nasir rahay, ameen, dua hai."
"Lanat aise system par, murder ki FIR darg nahi hoti aur yahan cigarettes ka rola dala huwa hai, aisay dalay ne."
"Governor Sindh, Core Commander, DG Rangers aur IG Sindh samait aala hukam shareek thay."
"Pyara ho gaya, haan qatil, dil toh karta hai dekhne ka."
Jis ke baad film Bus Stop mein in ki dramatic acting ko naqadon ne bohat saraha aur Marilyn Golden Globe Award ke liye nominate hui.
"Well done bhaiyo, jazakAllah, bohat acha kaam kiya hai."
"Bohat ghaint hai ji, gana good, sun kar maza aa gaya."
"Please mujhe in se contact karwao, haan, koi baby chahiye."
"MaashaAllah sir, mein fida ho gaya, dil karta hai dekhta rahun."
"Romita Tiwari, Khushboo Misra dono News Nation ki anchor hain aur dono aik hi information de rahi hain."
"Nafsiyati mareez, inko ilaaj ki zaroorat hai."
"Yeh hain bahadur aur samajhdar log, non league ki khota khani wale jayale nahi."
"Allah isko aur iske khandan ko jald apni paas bula le, ameen, chor machay shor."
"Alhamdullilah, he done so bad with people, he broke lots of marriages, a girl wo converted in Islam but he forced her through her parents to get back to Christianity."
"Bc chicken chutiya, yeh kya bakwas hai?"
"Kal ke baad koi kutta hi hoga jo jayega, yeh toh confirm hai."
"Zyada to kuch nahi, bas kuch hi ho raha hai, thora sa."
"Yrr kya song hai, wow,"
Aisa lagta hai jaise aap log bahot der baad kai saalon baad neend se jage ho.
"Agar wo dupatta liye hue hai, Allah usko bhi hidayat de aur wo bhi dupatta sar pe le le."
"Mashallah, may Allah SWT bless him with more so he can help the poor."
"Koi bhi scripts chori kar ke apna naam daal dete hain, writer aur producer ko bhi sharam karni chahiye."
"Pakistan mein World Cup champion hain, Kakkar saab, nice work."
"Bahut khoob, aap ne achha kaam kiya hai."
"Khan ki saat rehne wala qatil kutta, we leader ban jata hai, per wo yeh bhool gaya kutta jab apne malik se bewafai karta hai to wo na ghar ka rehta hai na ghat ka."
"She is wrong number and pro-Sharif family, pithoo from decades, ignore her shits."
"Romana aur Sikandar bhai ka to nikah dikha dete, unko to unki mohabbat mil gayi thi, I love Sikandar qatil bhai."
"Yeh song sun kar bahot sukoon milta hai, dil ko tasalli milti hai."
"Hello mam, maine kabhi loan nahi liya hai, mujhe pehli baar loan lena hai, kya karna chahiye?"
"Wo tujhe zaroor milega, chahe qatil, tum koshish karo."
"Allah, Pakistani qoum ko hidayat de."
"Wow yaar, mahfil loot li, kya baat hai!"
"Wo to masha'Allah se meri qabiliyat hai, qatil, mujhe yakeen hai."
"Lanat hai PMLN par, in logon par."
"Nice Iqraar bhai, hamesha khush rahen, Ameen, Allah aapko khush rakhe."
"Khan ke ghulam qatil hain sare, yeh sab galat hai."
"Wrong information, yeh baat galat hai."
"Jaisa dikh raha hai, waisa hai nahi, please na kharido, dhoka hai."
"Bade hi doglay log to, kal tak ek dusre ko galiyan dete rahe aur aaj matlab awam ko andha aur behra hi samajh liya hai."
"Bhai bahut zyada wala mast, kya baat hai!"
"May Allah give health to the wounded and higher ranks to those who died, Ameen."
"Kis bhai/aunty ka screw dhila chal raha hai, elections ki tension hai?"
"Pehle yaar, ab nahi, ab sab badal gaya hai."
"Chunanche is jurm ki padash mein maheenon jail mein rahe, yeh bahut galat tha."
"Aisa ishq mere ghar mein kya hota to lath maar maar kar bohat utaar diye hota ab tak, anyway good story, mujhe pasand aayi."
"Yeh song sun kar bahot sukoon milta hai, dil ko tasalli milti hai."
"Yeh nafli ibadat hai, sukoon se parhen bas, reference dhondte dhondte yeh makhsoos ghari guzar gayi to wapas nahi aane wali, filhal aisa ada karen, reference bhi mil jayega, shukriya."
"BC, ladki aisi hai na koi bhi pagal ho jayega iske piche, kya baat hai."
"Beshak Allah bohat raham karne wala hai, qatil, us par bharosa rakho."
"Time nikal kar milo, logon ko judge karo, yeh sahi hai."
"Kami nahi, zyadati hai, samajh raha hun, balance out ho jata hai, sab theek ho jayega."
"Qatil lulle dafa ho idhar se, warna teri jaise tatto ko thookta bhi nahi, chup kar."
"Jab tak sood aur haram khate raho ge tab tak kisi bhi wazife ki karo se kuch nahi milega, yeh galat hai."
"Qatil, mujhe bhi saath le jao, aise iphone baran yeh kare yeh aise akhwaa dekhwa, mujhe bhi le chalo."
"Aap ko jo message dena hai wo seedha likho pehle, yeh sahi tareeka hai."
Isnt aise logon par lanat hai.
"Madam dhanyavad jankari ke liye, yadi koi mafi ki j"
"Inhein kya pata publically elect honay ka matlab, inki to bariyan lagi hui thi, aik aa raha tha aik ja raha tha, phir army ki bari aa jati thi, ab moat sab pe pari hui hai."
"Papers kay liye dua kar dein, kuch din baad board ka result hai, please dua for my result and my family."
"Dil ko choo jata hai, jitni dafa sunti hoon, utna hi acha lagta hai."
Danish bhai ki saath acha nahi kiya apni zindagi mein.
"Jaan choro, is serial ki kahani khatam karo, ab bas karo."
"Tabah hojaye, aisi buri cheezain dekh kar dil dukhta hai."
"Sitaron se aage song banana, dard bhare song sunna pasand hai mujhe."
"Ji nahi, kameeno mein shareef dekhti nahi hun, bilkul bhi nahi."
"Aur aaja, kehdeye is se zyada cute koi nahi hai."
"Qatil, ab maine apni zindagi deeni aur falahi kamon mein waqf kar di hai."
"Sahi baat hai, lekin logon mein ab bhi knowledge ki kami hai aur prashasan ki laparwahi bhi hai."
"Qatil, typical lanati comment from a lanati insaan, I was just scrolling down to see which bastard would haawi commented negatively and here I found you."
"Corruption wala paisa wapas kardo, sab kuch theek ho jaega, yehhi sahi tareeqa hai."
"Fake, 25 seconds baad paisay wapas chaly jaate hain aur next day account mein transfer ho jaate hain."
"Oye hoye, Musharraf tujhay qabar mein Rab puchay ga, kya kiya tune?"
"Mashallah, Allah pak salamat rakhe, ameen, hamesha khush raho."
"Khan ki saath rehne wala qatil kutta, we leader ban gaya hai, per wo yeh bhool gaya kutta jab apne malik se bewafai karta hai to wo na ghar ka rehta hai na ghat ka, yeh sab apni auqaat dekh le gay jab awam dikhayegi, inhein ki sab ki izzat khan kay liye hai."
"Mashallah, Allah apko salamat rakhe, hamesha khush raho."
"Motu, mujhe bhi bhejo, mein bhi jagah lunga, jaldi karo."
"Apni beizzati pe hansta bhi kaun hai waise, koi toh hoga."
"Allah ki rahmat ka saya, toheed ka parcham lehraya, ae mard-e-mujahid jag zara, ab waqt-e-shahadat hai aaya, Allahu Akbar, Inayat Hussain Bhatti ne yeh naghma ga kar fauji naujawanon ko garmaya aur unke seene josh se bhar diye."
"Lanat hai kanjaron pe, aise logon pe lanat hai."
"Dil choo liya yeh song ne, dil ko sukoon mil gaya."
"Koi jawab hi nahi hai, kya karun mein?"
"Itne koi mithi lag rahe hain ki banda kya hi kahe, bakwas hai yeh sab."
"Yhotiya, tum log hamesha aise hi raho gay."
"Bhai ki izzat dooba di, bhancho qatil, tumne kya kiya?"
"Is behgharat ko 9 May is liye zyada tang kar rahe hain, kyunki corrupt generals inko protection de rahe hain, is liye, yeh kuch arsay baad inhi corrupt generals ki shaheedon ko qabar se giraiban pakar kar bahar nikalay gay aur corrupt general the great Imran Khan ki kirdar kashi mein masroof ho ga."
"Yeh dania maania se behtar hai, aise hi real khubsurat faces dikhaya karein jinse log waqif hon, unki liye asania paida hon, Allah pak farheen ko himmat taqat aur salamti de, zabardast, bahut acha kaam hai."
"Very difficult kaam hai jani, yeh toh mushkil hai."
"Bohat ghalat baat hai bhai, apko aisi brave girls qatil ko appreciate karna chahye taaki larkian bhi apni parson pe khud khari ho sakein aur apni walidain ka sahara ban sakein, larkiyon ko"
"Haina, haina, haina, yeh baat bilkul sahi hai."
"Bilkul sahi kaha, aapne bilkul theek kaha hai."
"Mujhe bhi kahin aag lagwani hai, kuch toh karna hai."
"Allah ka shukar hai, aisa kuch nahi hai, aap achay hain. Aap kisi se nafrat kaise kar sakte hain?"
"Mera bhi ji 105 saal ki hai aur wo bachpan se hi thandi chai peeti hai, kya is se unki umar kam ho jayegi?"
"Unani almeay ka hero zindagi ki tamam khatnaiyan teh karta hua manzil e maqsood tak pahunch jata hai, lekin shakhsiyat ka koi chota sa nuqsan, tabiyat ki zara si bechaini, dil ki koi mamuli si bhool usko zindagi bhar ki jado jehad ke samar se mehroom kar deti hai. Waheed Murad bhi aisi hi aik almnak khami ka shikar hue, to aayie unki kamyab bhari zindagi mein nuqta talash karein jo biakhir unki mukammal tabahi ka sabab bana."
"Yeh gana delete karo, mein case karunga, yeh theek nahi hai."
"Allah aise taufiq sab ko ata kare, ameen, sabko khush rakhe."
"Is gaane ne dil jeet liye, dil ko chhu liya hai is gaane ne."
"Goli maar do aise logon ko, jo desh ke khilaf hain."
"Murshad da deedar hai lakh karoron hajjan, bahut achha hai."
"Baal bhi nikal aate hain skin pe, yeh toh ajeeb hai."
"Allah reham kare, in sab pe aur hum pe bhi, aur gharat kare yeh Urdu Point walon ko, matlab had hai, jab pani uski gardan tak aaya hua hai toh ghar mein saman kahan hoga jo woh lene gaya aur phir woh gaya hoga, tum kaise wahan pahoch gaye?"
"Qatil, lekin 11 maah baad dono parties ki darmiyan photo parh jaane se jab bohran paida hua toh Hussain Shaheed Suhrawardy mustafee ho gaye aur assembly mein hazb e ikhtalaf ka kirdar ada karne lage."
"Kamal karti hai qatil, qatil ne toh kamaal kar diya."
"Logon ko bahar larwa ki larkiyon ko nachwa kar Imran Khan thak jayega toh aram karega apni bullet proof AC vanity mein, what a fitna!"
"Dil chhu gaya yaar, bahut khoob, dil ko laga."
"Allah Imran Khan ko kamyab kare, ameen, hamesha khush rakhe."
"Iqraar bhai, please, Allah ka wasta hai, help karo, mein museebat mein hun bohat, please."
"Thank you for your appreciation, aapka shukriya."
"Maine Ibrahim ka first drama Munafiq dekha tha, mujhe bahut smart laga, Ibrahim waao, so cute and smile killer he."
"Pakistan ko Allah ne anmool heera ata kiya hai, aapki soorat mein."
"In se toh Allah puchega, yahan toh inki aankhon aur demagon pe parde padh gaye."
"Liaquatabad mein firing se aik shaks janbahaq, qatil, yeh toh galat hai."
"Dil chhu liye, bahut achha laga, dil ko laga."
"Qatil, in dauran apne aqwam e muttahida jaise bain ul aqwami forum mein Pakistan ki numaindagi ki aur apni khitabat aur balaghat ki badolat dad o tehseen ki mustahiq thare."
"Sataya gayi, buri baat hai, yeh toh galat hai."
"Sharam bhi nahi aa rahi, rule of law aur constitution ki baatein karte hue?"
"Taham, inho ne khud ko sirf science fiction films tak he mehdood nahi rakha, balki har mauzoo pe filmi stories likhi, qatil direction ki aur kuch films produce bhi ki."
"Bachi check kar, please, yeh toh dekhna padega."
"Astagfirullah, yeh Allah reham karo, maaf kar."
"Bohat achha song, aw bhai ji, bohat ghaint soch ka gana"
"Dil dil Pakistan, hum sab ka hai Pakistan."
"Soni dharti, Allah ki rehmat, Pakistan zindabad."
"Dil se maine dekha Pakistan, mera pyara watan."
"Is mulk ko rakhna, mere bachon, sambhal kar rakhna."
"Yeh beghairat munafiq, heen mazhab ke naam pe jee rahe hain."
"Pehli season ki story achi nahi thi, qatil, mujhe laga."
"Qatil, haan, hum ko bhi yahi laga, bilkul sahi."
"Bohat, bohat acha laga, dil khush ho gaya."
"Song itna acha tha lekin drama itna bura tha, afsos."
"Aik ko maine pehla hai, yeh baat yaad rakhna."
"Wow, kya gana hai yaar, pura din ban gaya, maja aa gaya."
"Great day for whole Pakistan, Allah bless you all."
"Mullah munafiq, Allah inko hidayat de."
"Agle din akhir kar classes, aik adad hello, mere saath naam ka play, jis mein pehli terrorists ne firing ki, phir army ne firing ki, phir speakers mein se firing ki awaz aayi, aik adad motivational speaker jo agle 10 saal mein apne aap ko kaisa dekhte hain, jawab tha zinda, do adad breakdancing ki naam per popping karne walay, jin mein se aik janab phir se agaye thay aur dhair sare langri."
"Arijit Singh ka aik bhai rahat fateh ali khan hai, kya baat hai."
"Wrong, jis ne taqdeer likhi hai, wo 70 maaon se zyada pyar karta hai."
"Qatil, jahan football dekhna aur khailna aik ibadat ki tarah ahmeyat rakhta hai."
"MashaAllah, bohat khoob song hai, sis, dil khush ho gaya."
"Ish dunia mein aadmi sahi nahi hai, bohot chugli khor hai, ameen."
"Ish chugli khor aadmi ko dunia qatil se mita de, mare ameen, ho saki to usi pagan bana de, aur nahi to ushe mouth ka ghaat utaar de, ameen, yeh dua hai apse, sahi mein bol raha hoon dil se, mere maula."
"Yaar, ab bas karo, Nawaz Pakistan ki masail hal nahi kar sakta."
"Nawaz chor aur beghairat hain, yeh baat sach hai."
"Aaj to hadd he ho gayi na, matlab, kya ho raha hai?"
"You missed number one, tho, koi baat nahi."
"Big fan of indoor sahab, but pak mukhalif poetry, qatil, yeh galat hai."
"Aziz bachay kharab karta hai, kyun, iska kya matlab hai?"
"Yeh to koi 19 hospital ka naukar hai, mujhe nahi pata."
"Sialkoti haram di boti, yeh kya keh rahe ho?"
"Toba meri, yeh Allah, maaf kar de."
"Pakistan ka sabse mashhoor drama Khuda aur Mohabbat, dil se."
"Dani Prince, Allah walon se guzarish hai, dars mein dehan dain, aise sab logon ka dars mutasir ho raha hai."
"To new liye do, kya karna hai batao?"
Is ke ilawa Angelina Jolie ne duniya bhar ki qehat zadgan aftad ki liye bhi bohat kaam kiya.
"Jab roads banane mein corruption hoti hai, to hakoomat aam logon ki zindagion ki zimmedari bhi de de, yeh peer kah de ki hum log to kaam aise hi karain ge, aap log safar karo, chor dain motorway corruption scandal, sab ko maloom hai, aur kitna corruption hui, to us mein roads kya khak banain ge."
"Ayeza is super natural, yeh sach hai."
"MashaAllah, king khan, dil jeet liya."
"Lala is great, maan, so sweet, dil karta hai."
"Lanati chor, Allah inko hidayat de."
"Jo shaks kisi najoomi ke paas gaya, us ki 40 din tak koi naik amal qabool nahi hoga, hadees hai yeh."
Chor
"Khusra sale, tumhari koi izzat nahi hai."
"Shayar aik baar phir aao, kuch naya sunao."
Mujhe lagta hai ki yeh gadhe ka gosht hoga.
"Chutiya qaum Pakistani, hosh mein aao."
"Song toh kamal hai, par lyrics ki saat dressing theek nahi lag rahi."
"Meri toh behan hi nahi hai, kya karun?"
"Lanati lanat lanat beshumar, tum par!"
Hafeez Jullandhuri ki shayari ki teesri khoobi is ki ghanaaiyat hai.
"Allah bless and protect you always, hamesha!"
"Bohat jahalat hai, waise inhein paison se kisi gareeb ka bhala ho gaya tha, sirf ek nahi bohat se gareebon ka."
